"","estimates","methods","scene","par"
"382",1.02661712196073,"Q-Learning with lasso","Scenario 1","psi0"
"383",0.683690249355217,"Q-Learning with lasso","Scenario 1","psi0"
"384",1.20533637436922,"Q-Learning with lasso","Scenario 1","psi0"
"385",0.544063557508989,"Q-Learning with lasso","Scenario 1","psi0"
"386",0.63337659806573,"Q-Learning with lasso","Scenario 1","psi0"
"387",1.06974974514184,"Q-Learning with lasso","Scenario 1","psi0"
"388",0.89302649081489,"Q-Learning with lasso","Scenario 1","psi0"
"389",0.576099302064506,"Q-Learning with lasso","Scenario 1","psi0"
"390",0.929374945627019,"Q-Learning with lasso","Scenario 1","psi0"
"391",0.687593317460856,"Q-Learning with lasso","Scenario 1","psi0"
"392",0.950957501575116,"Q-Learning with lasso","Scenario 1","psi0"
"393",1.27948563060847,"Q-Learning with lasso","Scenario 1","psi0"
"394",0.463848417835648,"Q-Learning with lasso","Scenario 1","psi0"
"395",0.959712089671847,"Q-Learning with lasso","Scenario 1","psi0"
"396",0.854231047362449,"Q-Learning with lasso","Scenario 1","psi0"
"397",0.757179098813503,"Q-Learning with lasso","Scenario 1","psi0"
"398",0.544819734670371,"Q-Learning with lasso","Scenario 1","psi0"
